Number Site HarvestYear SowingDate Variety Date HarvestDate Date_BBCH30 Date_BBCH55 Date_BBCH90 Biomass EarsPerSqM Grain_Number ProteinContentGrain N_in_biomassHarvest Grain_Yield
49 Site_605 1999 20/05/1999 IR72 17/08/1999 NA NA NA NA 755.9 NA NA NA NA NA
49 Site_605 1999 20/05/1999 IR72 25/08/1999 NA NA NA NA 856.4 NA NA NA NA NA
49 Site_605 1999 20/05/1999 IR72 19/09/1999 19/09/1999 10/07/1999 17/08/1999 19/09/1999 1051.0 NA 26599.0 8.1875 12.559467174119888 691.6
50 Site_605 2000 19/05/2000 IR72 10/06/2000 NA NA NA NA 96.0 NA NA NA NA NA
50 Site_605 2000 19/05/2000 IR72 06/07/2000 NA NA NA NA 365.8 NA NA NA NA NA
50 Site_605 2000 19/05/2000 IR72 12/08/2000 NA NA NA NA 765.2 NA NA NA NA NA
50 Site_605 2000 19/05/2000 IR72 20/08/2000 NA NA NA NA 858.7 NA NA NA NA NA
50 Site_605 2000 19/05/2000 IR72 16/09/2000 16/09/2000 06/07/2000 12/08/2000 16/09/2000 1064.4 NA 26882.0 7.8125 12.401352874859075 698.9
51 Site_609 1991 30/07/1991 IR72 12/08/1991 NA NA NA NA 24.5 NA NA NA NA NA
51 Site_609 1991 30/07/1991 IR72 26/08/1991 NA NA NA NA 145.6 NA NA NA NA NA
51 Site_609 1991 30/07/1991 IR72 27/09/1991 NA NA NA NA 639.9 NA NA NA NA NA
51 Site_609 1991 30/07/1991 IR72 04/10/1991 NA NA NA NA 772.6 NA NA NA NA NA
51 Site_609 1991 30/07/1991 IR72 29/10/1991 29/10/1991 26/08/1991 27/09/1991 29/10/1991 1054.4 NA 23987.0 7.875 11.665402124430955 623.7
52 Site_609 1992 29/07/1992 IR72 11/08/1992 NA NA NA NA 25.5 NA NA NA NA NA
52 Site_609 1992 29/07/1992 IR72 25/08/1992 NA NA NA NA 166.5 NA NA NA NA NA
52 Site_609 1992 29/07/1992 IR72 26/09/1992 NA NA NA NA 741.3 NA NA NA NA NA
52 Site_609 1992 29/07/1992 IR72 03/10/1992 NA NA NA NA 856.9 NA NA NA NA NA
52 Site_609 1992 29/07/1992 IR72 28/10/1992 28/10/1992 25/08/1992 26/09/1992 28/10/1992 1113.7 NA 25766.0 7.625 11.493220795546376 669.9
53 Site_609 1993 30/07/1993 IR72 12/08/1993 NA NA NA NA 24.4 NA NA NA NA NA
53 Site_609 1993 30/07/1993 IR72 26/08/1993 NA NA NA NA 127.7 NA NA NA NA NA
53 Site_609 1993 30/07/1993 IR72 27/09/1993 NA NA NA NA 642.9 NA NA NA NA NA
53 Site_609 1993 30/07/1993 IR72 04/10/1993 NA NA NA NA 728.1 NA NA NA NA NA
53 Site_609 1993 30/07/1993 IR72 29/10/1993 29/10/1993 26/08/1993 27/09/1993 29/10/1993 1003.7 NA 24154.0 7.6875 11.756500946497956 628.0
54 Site_609 1994 30/07/1994 IR72 12/08/1994 NA NA NA NA 22.4 NA NA NA NA NA
54 Site_609 1994 30/07/1994 IR72 26/08/1994 NA NA NA NA 135.5 NA NA NA NA NA
54 Site_609 1994 30/07/1994 IR72 27/09/1994 NA NA NA NA 724.8 NA NA NA NA NA
54 Site_609 1994 30/07/1994 IR72 04/10/1994 NA NA NA NA 858.2 NA NA NA NA NA
54 Site_609 1994 30/07/1994 IR72 29/10/1994 29/10/1994 26/08/1994 27/09/1994 29/10/1994 1140.0 NA 27054.0 7.8125 11.842105263157894 703.4
55 Site_609 1995 30/07/1995 IR72 12/08/1995 NA NA NA NA 22.9 NA NA NA NA NA
55 Site_609 1995 30/07/1995 IR72 26/08/1995 NA NA NA NA 130.9 NA NA NA NA NA
55 Site_609 1995 30/07/1995 IR72 27/09/1995 NA NA NA NA 648.1 NA NA NA NA NA
55 Site_609 1995 30/07/1995 IR72 03/10/1995 NA NA NA NA 751.2 NA NA NA NA NA
55 Site_609 1995 30/07/1995 IR72 28/10/1995 28/10/1995 26/08/1995 27/09/1995 28/10/1995 1034.2 NA 24087.0 7.75 11.603171533552503 626.3
56 Site_609 1996 29/07/1996 IR72 11/08/1996 NA NA NA NA 23.3 NA NA NA NA NA
56 Site_609 1996 29/07/1996 IR72 25/08/1996 NA NA NA NA 119.5 NA NA NA NA NA
56 Site_609 1996 29/07/1996 IR72 26/09/1996 NA NA NA NA 660.3 NA NA NA NA NA
56 Site_609 1996 29/07/1996 IR72 02/10/1996 NA NA NA NA 766.9 NA NA NA NA NA
56 Site_609 1996 29/07/1996 IR72 28/10/1996 28/10/1996 25/08/1996 26/09/1996 28/10/1996 1085.3 NA 23823.0 8.0 11.425412328388465 619.4
57 Site_609 1997 30/07/1997 IR72 12/08/1997 NA NA NA NA 20.7 NA NA NA NA NA
57 Site_609 1997 30/07/1997 IR72 26/08/1997 NA NA NA NA 141.7 NA NA NA NA NA
57 Site_609 1997 30/07/1997 IR72 27/09/1997 NA NA NA NA 654.2 NA NA NA NA NA
57 Site_609 1997 30/07/1997 IR72 04/10/1997 NA NA NA NA 793.1 NA NA NA NA NA
57 Site_609 1997 30/07/1997 IR72 30/10/1997 30/10/1997 26/08/1997 27/09/1997 30/10/1997 1166.7 NA 24931.0 8.0625 11.39967429502014 648.2
58 Site_609 1998 30/07/1998 IR72 12/08/1998 NA NA NA NA 20.8 NA NA NA NA NA
58 Site_609 1998 30/07/1998 IR72 26/08/1998 NA NA NA NA 103.9 NA NA NA NA NA
58 Site_609 1998 30/07/1998 IR72 27/09/1998 NA NA NA NA 581.6 NA NA NA NA NA
58 Site_609 1998 30/07/1998 IR72 03/10/1998 NA NA NA NA 696.6 NA NA NA NA NA
58 Site_609 1998 30/07/1998 IR72 27/10/1998 27/10/1998 26/08/1998 27/09/1998 27/10/1998 986.2 NA 20494.0 7.9375 11.052524842831069 532.9
59 Site_609 1999 30/07/1999 IR72 12/08/1999 NA NA NA NA 24.3 NA NA NA NA NA
59 Site_609 1999 30/07/1999 IR72 26/08/1999 NA NA NA NA 138.6 NA NA NA NA NA
59 Site_609 1999 30/07/1999 IR72 27/09/1999 NA NA NA NA 638.7 NA NA NA NA NA
59 Site_609 1999 30/07/1999 IR72 04/10/1999 NA NA NA NA 781.4 NA NA NA NA NA
59 Site_609 1999 30/07/1999 IR72 29/10/1999 29/10/1999 26/08/1999 27/09/1999 29/10/1999 1037.2 NA 24105.0 7.875 11.858850752024681 626.7
60 Site_609 2000 29/07/2000 IR72 11/08/2000 NA NA NA NA 24.6 NA NA NA NA NA
60 Site_609 2000 29/07/2000 IR72 25/08/2000 NA NA NA NA 154.7 NA NA NA NA NA
60 Site_609 2000 29/07/2000 IR72 26/09/2000 NA NA NA NA 650.9 NA NA NA NA NA
60 Site_609 2000 29/07/2000 IR72 03/10/2000 NA NA NA NA 776.1 NA NA NA NA NA
60 Site_609 2000 29/07/2000 IR72 27/10/2000 27/10/2000 25/08/2000 26/09/2000 27/10/2000 1070.3 NA 24643.0 7.875 11.772400261608896 640.7
